"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Date
Maldives,"185,732",,311,,"163,687",,"21,734",25,"343,322",575,"2,213,831","4,092,223","540,985",Asia,2023-03-01
Ghana,"171,172",,"1,462",,"169,697",,13,2,"5,284",45,"2,529,956","78,096","32,395,450",Africa,2023-03-01
Namibia,"171,156",,"4,090",,"166,776",,290,,"64,983","1,553","1,062,663","403,460","2,633,874",Africa,2023-03-01
Uganda,"170,504",,"3,630",,"100,431",,"66,443",3,"3,520",75,"3,012,408","62,198","48,432,863",Africa,2023-03-01
Jamaica,"154,196",,"3,502",,"102,393",,"48,301",,"51,655","1,173","1,183,986","396,633","2,985,094",North America,2023-03-01
Cambodia,"138,717",,"3,056",,"135,656",,5,,"8,080",178,"3,091,420","180,062","17,168,639",Asia,2023-03-01
Rwanda,"133,180",,"1,468",,"131,634",,78,,"9,792",108,"6,021,981","442,778","13,600,464",Africa,2023-03-01
Cameroon,"124,392",,"1,965",,"122,344",,83,13,"4,457",70,"1,751,774","62,762","27,911,548",Africa,2023-03-01
Malta,"117,477",,827,,"116,028",,622,4,"264,568","1,862","2,117,102","4,767,893","444,033",Europe,2023-03-01
Barbados,"106,645",,575,,"106,057",,13,,"370,266","1,996","794,426","2,758,203","288,023",North America,2023-03-01
Angola,"105,277",+22,"1,933",,"103,317",+19,27,,"3,006",55,"1,499,795","42,818","35,027,343",Africa,2023-03-01
Channel Islands,"101,382",,227,,"101,029",,126,,"574,523","1,286","1,252,808","7,099,551","176,463",Europe,2023-03-01
French Guiana,"98,041",,420,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169",South America,2023-03-01
DRC,"95,749",+103,"1,464",,"84,321",+39,"9,964",,"1,005",15,"846,704","8,890","95,240,792",Africa,2023-03-01
Senegal,"88,921",+4,"1,971",,"86,947",+9,3,,"5,037",112,"1,146,543","64,946","17,653,671",Africa,2023-03-01
Malawi,"88,702",+21,"2,686",,"85,580",+38,436,67,"4,395",133,"624,784","30,959","20,180,839",Africa,2023-03-01
Ivory Coast,"88,208",+11,834,,"87,342",+15,32,,"3,180",30,"1,679,087","60,524","27,742,298",Africa,2023-03-01
Suriname,"82,467",+240,"1,404",4.0,,,,,"138,175","2,352","241,357","404,398","596,831",South America,2023-03-01
New Caledonia,"79,881",,314,,"79,558",,9,9,"274,585","1,079","98,964","340,182","290,915",Australia/Oceania,2023-03-01
French Polynesia,"77,957",,649,,,,,7,"274,338","2,284",,,"284,164",Australia/Oceania,2023-03-01
Eswatini,"74,199",,"1,423",,"72,726",,50,,"62,625","1,201","1,048,704","885,119","1,184,817",Africa,2023-03-01
Guyana,"73,069",,"1,298",,"71,752",,19,,"92,021","1,635","721,841","909,068","794,045",South America,2023-03-01
Belize,"70,757",,688,,"70,056",,13,6,"171,661","1,669","576,016","1,397,453","412,190",North America,2023-03-01
Fiji,"68,889",,883,,"66,850",,"1,156",,"75,747",971,"668,445","734,986","909,466",Australia/Oceania,2023-03-01
Madagascar,"67,865",,"1,422",,"66,433",,10,,"2,326",49,"525,461","18,009","29,178,077",Africa,2023-03-01
Sudan,"63,809",+22,"5,013",2.0,"58,462",+24,334,,"1,387",109,"562,941","12,240","45,992,020",Africa,2023-03-01
Mauritania,"63,668",+1,997,,"62,441",+2,230,,"12,988",203,"1,009,957","206,030","4,901,981",Africa,2023-03-01
Cabo Verde,"63,244",,413,,"62,773",+2,58,23,"111,408",728,"401,622","707,482","567,678",Africa,2023-03-01
Bhutan,"62,620",,21,,"61,564",,"1,035",,"79,473",27,"2,303,734","2,923,739","787,941",Asia,2023-03-01
Syria,"57,467",,"3,164",,"54,303",,0,,"2,968",163,"146,269","7,553","19,364,809",Asia,2023-03-01
Burundi,"53,631",,38,,"53,569",,24,,"4,248",3,"345,742","27,386","12,624,840",Africa,2023-03-01
Seychelles,"50,665",,172,,"50,440",,53,,"509,575","1,730",,,"99,426",Africa,2023-03-01
Gabon,"48,981",,306,,"48,674",,1,,"21,008",131,"1,621,909","695,641","2,331,533",Africa,2023-03-01
Andorra,"47,875",+9,165,,"47,563",,147,14,"618,037","2,130","249,838","3,225,256","77,463",Europe,2023-03-01
Papua New Guinea,"46,809",+17,670,,"43,982",,"2,157",7,"5,037",72,"249,149","26,813","9,292,169",Australia/Oceania,2023-03-01
Curaçao,"45,986",,295,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640","165,529",North America,2023-03-01
Aruba,"44,044",+18,236,,"42,438",,"1,370",2,"409,297","2,193","177,885","1,653,068","107,609",North America,2023-03-01
Tanzania,"42,846",+23,846,,,,,7,677,13,,,"63,298,550",Africa,2023-03-01
Mayotte,"42,004",,188,,,,,,"146,734",657,"176,919","618,038","286,259",Africa,2023-03-01
Mauritius,"41,717",,"1,043",,"40,012",,662,,"32,726",818,"358,675","281,374","1,274,727",Africa,2023-03-01
Togo,"39,377",,290,,"39,074",,13,,"4,536",33,"808,297","93,113","8,680,837",Africa,2023-03-01
Guinea,"38,267",,467,,"37,757",,43,8,"2,760",34,"660,107","47,607","13,865,691",Africa,2023-03-01
Isle of Man,"38,008",,116,,,,,,"443,335","1,353","150,753","1,758,422","85,732",Europe,2023-03-01
